order_id,customer_id,seller_id,product_id,order_date,quantity,unit_price,discount_rate,order_value,delivery_days,order_status,payment_method,seller_rating,delivery_bucket,rating_bucket,discount_bucket
ORD00001,C00314,S0243,P0229,2025-08-16,3,559,0.15,1425.45,3,Delivered,UPI,4.8,1-3 Days,High Rating,11-20%
ORD00002,C05386,S0012,P0090,2025-09-24,1,1960,0.1,1764.0,7,Delivered,UPI,4.0,7-10 Days,Medium Rating,1-10%
ORD00003,C01528,S0794,P0093,2025-02-18,3,4910,0.0,14730.0,4,Delivered,UPI,3.8,4-6 Days,Medium Rating,No Discount
ORD00004,C03708,S0599,P0002,2025-07-11,1,3419,0.1,3077.1,2,Delivered,COD,3.6,1-3 Days,Medium Rating,1-10%
ORD00005,C03726,S0409,P0215,2025-10-07,1,557,0.0,557.0,5,Delivered,UPI,3.0,4-6 Days,Low Rating,No Discount
ORD00006,C07387,S0805,P0005,2025-07-06,1,1306,0.1,1175.4,4,Cancelled,UPI,3.3,4-6 Days,Low Rating,1-10%
ORD00007,C07922,S0333,P0279,2025-10-17,1,4256,0.1,3830.4,2,Delivered,UPI,4.0,1-3 Days,Medium Rating,1-10%
ORD00008,C01450,S0134,P0481,2025-02-26,1,3467,0.1,3120.3,4,Delivered,UPI,4.0,4-6 Days,Medium Rating,1-10%
ORD00009,C03533,S0660,P0333,2025-05-28,2,337,0.25,505.5,5,Delivered,Debit Card,3.2,4-6 Days,Low Rating,21-30%
ORD00010,C05167,S0101,P0225,2025-11-20,1,3467,0.15,2946.95,2,Delivered,UPI,3.2,1-3 Days,Low Rating,11-20%
ORD00011,C08547,S0107,P0090,2025-05-26,1,1960,0.0,1960.0,6,Delivered,UPI,3.0,4-6 Days,Low Rating,No Discount
ORD00012,C01490,S0365,P0437,2025-05-13,1,1885,0.05,1790.75,10,Delivered,UPI,4.7,7-10 Days,High Rating,1-10%
ORD00013,C06376,S0078,P0463,2025-10-04,2,4386,0.2,7017.6,6,Delivered,UPI,4.0,4-6 Days,Medium Rating,11-20%
ORD00014,C01388,S0442,P0316,2025-07-16,1,1728,0.15,1468.8,8,Returned,UPI,4.2,7-10 Days,Medium Rating,11-20%
