product_id,category,subcategory,selling_price,cost_price,product_rating
P0001,Jewellery,Bracelets,3142,2404,3.1
P0002,Home & Kitchen,Storage,3419,2080,5.0
P0003,Women Fashion,Western Wear,367,276,3.1
P0004,Women Fashion,Western Wear,1183,672,3.1
P0005,Home & Kitchen,Furniture,1306,840,3.6
P0006,Women Fashion,Sarees,2766,2163,4.7
P0007,Women Fashion,Ethnic Wear,305,218,3.5
P0008,Footwear,Formal Shoes,2904,2291,3.9
P0009,Electronics,Smart Devices,2277,1341,3.0
P0010,Footwear,Sneakers,3817,2910,3.2
P0011,Women Fashion,Sarees,4541,2592,4.2
P0012,Women Fashion,Ethnic Wear,3172,2191,3.4
P0013,Footwear,Slippers,1752,1142,4.4
P0014,Electronics,Lighting,2201,1529,4.6
P0015,Footwear,Sneakers,696,381,4.7
P0016,Kids,School Supplies,4598,2880,3.3
P0017,Footwear,Formal Shoes,1620,1188,3.9
P0018,Home & Kitchen,Kitchenware,3673,2555,4.9
P0019,Men Fashion,T-Shirts,4610,3191,4.5
P0020,Home & Kitchen,Storage,4572,3103,3.2
P0021,Home & Kitchen,Kitchenware,740,614,4.0
P0022,Men Fashion,Trousers,987,816,4.8
P0023,Footwear,Sneakers,554,347,3.9
P0024,Women Fashion,Western Wear,4173,2600,4.7
P0025,Footwear,Sandals,1425,989,4.0
P0026,Women Fashion,Ethnic Wear,448,239,3.2
P0027,Home & Kitchen,Furniture,4397,2665,3.3
P0028,Footwear,Formal Shoes,3594,2087,3.1
P0029,Women Fashion,Kurtis,4168,2410,3.4
P0030,Home & Kitchen,Storage,730,528,4.8
P0031,Women Fashion,Western Wear,757,480,4.3
P0032,Jewellery,Earrings,1818,1018,4.5
P0033,Footwear,Sneakers,1490,1208,4.2
P0034,Jewellery,Bracelets,3323,2678,3.8
P0035,Jewellery,Necklaces,4312,3458,3.4
P0036,Electronics,Audio,1326,844,4.9
P0037,Women Fashion,Ethnic Wear,4446,2312,4.0
P0038,Men Fashion,Ethnic Wear,4110,2209,4.0
P0039,Home & Kitchen,Furniture,1306,779,5.0
P0040,Home & Kitchen,Storage,4843,2794,3.8
P0041,Footwear,Sneakers,1886,1520,4.7
P0042,Women Fashion,Western Wear,4670,3947,4.7
P0043,Women Fashion,Western Wear,4502,3538,3.5
P0044,Beauty,Makeup,4754,3591,3.2
P0045,Women Fashion,Kurtis,3674,2594,5.0
P0046,Electronics,Mobile Accessories,2776,2136,3.9
P0047,Home & Kitchen,Kitchenware,2731,2271,3.0
P0048,Electronics,Smart Devices,4416,3137,4.0
P0049,Women Fashion,Western Wear,2228,1235,4.2
P0050,Kids,School Supplies,1342,748,4.6
P0051,Women Fashion,Western Wear,4545,3201,4.9
P0052,Men Fashion,T-Shirts,3942,2431,4.8
P0053,Electronics,Lighting,3789,3102,4.9
P0054,Women Fashion,Ethnic Wear,3997,2854,3.1
P0055,Women Fashion,Ethnic Wear,1946,1434,4.4
P0056,Women Fashion,Sarees,416,209,3.5
P0057,Home & Kitchen,Kitchenware,3009,2030,3.4
P0058,Jewellery,Earrings,3614,2352,4.6
P0059,Home & Kitchen,Kitchenware,1915,1431,3.8
P0060,Home & Kitchen,Home Decor,4898,3105,4.8
P0061,Men Fashion,Trousers,488,411,3.1
P0062,Women Fashion,Sarees,4896,3596,4.6
P0063,Women Fashion,Ethnic Wear,3467,2534,3.3
P0064,Jewellery,Earrings,2942,2418,3.4
P0065,Women Fashion,Ethnic Wear,808,685,4.0
P0066,Kids,School Supplies,2552,1453,3.8
P0067,Women Fashion,Kurtis,734,575,4.0
P0068,Electronics,Audio,3490,1943,4.9
P0069,Jewellery,Earrings,3956,2611,4.3
P0070,Men Fashion,Shirts,955,511,3.6
P0071,Electronics,Lighting,4048,2907,3.3
P0072,Men Fashion,Shirts,552,367,3.8
P0073,Men Fashion,T-Shirts,4090,2945,3.9
P0074,Women Fashion,Sarees,4529,3339,4.2
P0075,Footwear,Formal Shoes,504,361,3.5
P0076,Men Fashion,Trousers,3194,1926,4.5
P0077,Men Fashion,T-Shirts,3907,3098,3.2
P0078,Kids,Toys,2413,1672,4.1
P0079,Men Fashion,Trousers,4347,2919,4.2
P0080,Beauty,Haircare,1408,1190,3.4
P0081,Kids,Toys,474,284,4.7
P0082,Men Fashion,Ethnic Wear,345,236,4.2
P0083,Men Fashion,Ethnic Wear,3747,2768,4.3
P0084,Footwear,Sneakers,4924,2678,4.0
P0085,Men Fashion,Ethnic Wear,2152,1343,4.8
P0086,Women Fashion,Kurtis,1050,820,4.4
P0087,Beauty,Skincare,4722,2752,3.8
P0088,Electronics,Lighting,686,461,3.5
P0089,Women Fashion,Western Wear,1752,1263,3.1
P0090,Beauty,Personal Care,1960,1440,3.3
P0091,Men Fashion,Shirts,3382,2553,5.0
P0092,Women Fashion,Western Wear,782,628,3.8
P0093,Home & Kitchen,Kitchenware,4910,3130,4.8
P0094,Men Fashion,Shirts,4509,3370,3.3
P0095,Home & Kitchen,Storage,4804,3633,3.9
P0096,Home & Kitchen,Kitchenware,709,429,4.9
P0097,Women Fashion,Kurtis,4320,3624,3.2
P0098,Men Fashion,Shirts,4012,3221,4.2
P0099,Women Fashion,Kurtis,2439,1467,4.8
P0100,Women Fashion,Western Wear,2349,1730,4.9
P0101,Home & Kitchen,Kitchenware,3401,2555,4.7
P0102,Electronics,Lighting,541,352,4.7
P0103,Women Fashion,Sarees,1622,1301,4.3
P0104,Home & Kitchen,Home Decor,4066,3015,3.4
P0105,Kids,Toys,4594,3355,4.5
P0106,Women Fashion,Ethnic Wear,344,199,5.0
P0107,Home & Kitchen,Storage,3016,1939,4.1
P0108,Electronics,Audio,4756,3100,3.5
P0109,Women Fashion,Kurtis,1114,843,4.1
P0110,Footwear,Sandals,2110,1512,4.4
P0111,Kids,Kids Clothing,3900,2067,3.4
P0112,Women Fashion,Sarees,1538,935,4.4
P0113,Footwear,Sneakers,2445,1627,4.2
P0114,Beauty,Skincare,4116,3119,4.2
P0115,Women Fashion,Sarees,3150,2395,3.6
P0116,Home & Kitchen,Furniture,696,467,3.3
P0117,Women Fashion,Kurtis,3147,1702,4.2
P0118,Home & Kitchen,Furniture,989,596,4.2
P0119,Women Fashion,Kurtis,4399,2592,3.7
P0120,Electronics,Mobile Accessories,208,161,3.6
P0121,Beauty,Skincare,3297,1856,3.7
P0122,Beauty,Haircare,3015,1998,4.0
P0123,Women Fashion,Western Wear,525,386,4.9
P0124,Men Fashion,Ethnic Wear,3765,3154,4.5
P0125,Women Fashion,Kurtis,1081,919,4.7
